@relation 'TimeRaptors4CSC523.py F20172018_Date_WS_Temp_Vis_Total_Num_Rnd.arff F20172018_Deltas_WS_Temp_Vis_Total_Num.arff'
% ARFF file generated @ 2020-11-08 18:16:32.160156
@attribute datetime string
@attribute WindSpdKmh numeric
@attribute Temp numeric
@attribute Visibility numeric
@attribute TOTAL numeric
@data
'2018-08-24 09:00:00',3,23,16,2
'2018-11-04 16:00:00',8.5,7,77,4
'2018-11-02 15:00:00',3,16,45,0
'2018-11-16 14:00:00',15.5,0,33,9
'2017-09-16 13:00:00',3,28,12,16
'2018-11-09 07:00:00',8.5,2,50,0
'2018-10-29 11:00:00',15.5,8,50,23
'2017-09-24 11:00:00',3,27,33,4
'2018-10-07 06:00:00',3,19,?,0
'2017-10-11 11:00:00',8.5,18,10,9
'2017-11-10 13:00:00',24,1,77,25
'2018-08-26 11:00:00',3,26,33,6
'2018-12-08 08:00:00',3,-7,33,0
'2017-09-14 06:30:00',3,17,2,0
'2018-09-24 07:00:00',8.5,13,20,2
'2018-10-25 09:00:00',8.5,6,50,59
'2017-09-13 06:00:00',3,19,10,1
'2018-09-28 12:00:00',3,20,77,15
'2018-09-22 11:00:00',15.5,17,12,83
'2018-09-22 12:00:00',15.5,16,12,36
'2017-11-09 08:00:00',8.5,2,13,0
'2017-12-04 12:00:00',3,6,3,0
'2017-11-06 10:00:00',3,15,1,0
'2018-12-05 09:00:00',0,-4,20,1
'2018-11-30 12:00:00',0,1,7,0
'2018-09-26 06:00:00',8.5,0,2,0
'2018-09-15 05:00:00',3,0,7,1
'2018-10-30 10:00:00',15.5,7,77,52
'2018-11-04 06:30:00',8.5,3,77,0
'2017-09-13 09:00:00',3,18,15,0
'2017-10-15 08:00:00',3,15,?,0
'2017-11-28 11:00:00',3,4,30,12
'2018-11-01 11:00:00',3,20,5,17
'2017-09-15 13:00:00',0,24,33,61
'2018-11-04 10:00:00',8.5,8,77,15
'2017-12-01 09:00:00',8.5,4,33,0
'2017-08-23 11:00:00',3,25,35,4
'2017-12-15 13:00:00',0,-5,1,0
'2017-11-16 13:00:00',3,7,13,0
'2018-08-27 11:00:00',3,29,2,2
'2017-10-14 13:00:00',3,17.4,15,13
'2018-11-21 12:00:00',15.5,1,9,3
